clean,watermarked,wm_method,instrument,si_snr_clean,si_snr_watermarked,delta_si_snr,snr,lsd,pesq,stoi
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0000/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0000/2_watermarked.wav,SemanticCluster,speech,105.154526,39.20665,-65.947876,39.207127,6.73660945892334,3.929152250289917,0.9974238806209406
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0001/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0001/2_watermarked.wav,SemanticCluster,speech,99.19105,38.765656,-60.425392,38.766212,5.743354797363281,4.2702765464782715,0.9898147837135088
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0002/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0002/2_watermarked.wav,SemanticCluster,speech,104.81653,39.15491,-65.66162,39.155437,6.4270524978637695,4.068807601928711,0.9988353983490011
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0003/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0003/2_watermarked.wav,SemanticCluster,speech,103.6724,39.08045,-64.59195,39.080986,6.4814653396606445,4.10304594039917,0.9987190941476364
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0004/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0004/2_watermarked.wav,SemanticCluster,speech,104.79453,39.277824,-65.51671,39.278236,7.444969654083252,3.7677788734436035,0.99927096055067
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0005/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0005/2_watermarked.wav,SemanticCluster,speech,105.95126,39.414852,-66.53641,39.415268,7.179726600646973,3.84680438041687,0.9992909887534049
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0006/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0006/2_watermarked.wav,SemanticCluster,speech,103.99855,39.48933,-64.50922,39.48982,6.820302486419678,3.9666178226470947,0.9984903613426528
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0007/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0007/2_watermarked.wav,SemanticCluster,speech,100.782974,38.86268,-61.920296,38.863174,6.222737789154053,4.15670919418335,0.9934897725031072
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0008/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0008/2_watermarked.wav,SemanticCluster,speech,103.32419,39.13934,-64.184845,39.13982,6.277507781982422,4.134647846221924,0.9995603948113171
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0009/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-147960-0009/2_watermarked.wav,SemanticCluster,speech,101.27249,39.59182,-61.68067,39.59211,6.703254699707031,4.104543209075928,0.9996576741687743
