feature,pearson,abs_pearson,spearman,abs_spearman
hard/distorted_mean,0.892301731412293,0.892301731412293,0.9785634388904396,0.9785634388904396
bitwise/distorted_std,-0.8376963609690188,0.8376963609690188,-0.9804511278195487,0.9804511278195487
hard/distorted_std,0.7060901531216358,0.7060901531216358,-0.005265137641993141,0.005265137641993141
sisnr_wm_std,-0.6528243858047479,0.6528243858047479,-0.49624060150375937,0.49624060150375937
bitwise/no_watermark_clean_mean,0.3904130657072797,0.3904130657072797,0.19999999999999998,0.19999999999999998
bitwise/no_watermark_clean_std,0.30645824846843084,0.30645824846843084,-0.05413533834586466,0.05413533834586466
hard/clean_mean,-0.27294043062347495,0.27294043062347495,-0.11127819548872178,0.11127819548872178
hard/clean_std,0.2530876300695306,0.2530876300695306,0.11127819548872178,0.11127819548872178
chunk_index_std,-0.2428586985640116,0.2428586985640116,-0.13383458646616542,0.13383458646616542
bitwise/clean_std,-0.24109884988831262,0.24109884988831262,-0.41654135338345866,0.41654135338345866
sisnr_attack_std,0.23863712059521017,0.23863712059521017,0.16240601503759397,0.16240601503759397
chunk_index_mean,-0.1796001112270799,0.1796001112270799,-0.13984962406015036,0.13984962406015036
sisnr_wm_mean,-0.12618831440224296,0.12618831440224296,-0.12781954887218044,0.12781954887218044
hard/no_watermark_clean_std,0.1131034903495893,0.1131034903495893,0.17903580300437075,0.17903580300437075
hard/no_watermark_clean_mean,0.11310349034958929,0.11310349034958929,0.17903580300437075,0.17903580300437075
bitwise/clean_mean,-0.0912514757107273,0.0912514757107273,0.18277549242919047,0.18277549242919047
bitwise/no_watermark_distorted_mean,-0.07961170159896153,0.07961170159896153,0.02857142857142857,0.02857142857142857
sisnr_attack_mean,-0.04661860273726967,0.04661860273726967,0.5338345864661653,0.5338345864661653
bitwise/no_watermark_distorted_std,0.004021794161035181,0.004021794161035181,-0.022556390977443608,0.022556390977443608
hard/no_watermark_distorted_mean,,,,
hard/no_watermark_distorted_std,,,,
