attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,512,3.375,2.4653853654145026,0.9949951171875,0.020984380249113675,0.7322998046875,0.09788783271137738,0.4989013671875,0.12137196482626063,0.5029296875,0.12466002962393297,0.939453125,0.23849727656251,0.001953125,0.044150994357255134,0.0,0.0,0.0,0.0,23.395855966955423,5.537397208518073,-28.66203163273167,13.560870799606459
background_noise,498,3.2630522088353415,2.405874737866115,0.9968624497991968,0.01626933991616503,0.9968624497991968,0.01626933991616503,0.49849397590361444,0.12391949049424322,0.4983684738955823,0.12216477889675031,0.9598393574297188,0.19633584837880028,0.9598393574297188,0.19633584837880028,0.0,0.0,0.0,0.0,23.600860825504164,5.090650334573638,46.877922410467065,6.925159564272629
dac,694,3.249279538904899,2.474036545736336,0.9969380403458213,0.018731122513790097,0.5307096541786743,0.1257508099521701,0.4989193083573487,0.11814298888699555,0.49711815561959655,0.1205186546792856,0.9639769452449568,0.18634750945788994,0.0,0.0,0.0,0.0,0.0,0.0,23.37927538654646,6.065863916088029,2.4909459166825947,7.8736038538533855
dynamic_range_compression,528,3.265151515151515,2.4335404078085694,0.9963304924242424,0.016585069903286884,0.99609375,0.016972549661088226,0.5021306818181818,0.12033759711047501,0.5021306818181818,0.12131726877310346,0.946969696969697,0.22409393117801577,0.9431818181818182,0.23149487258481094,0.0,0.0,0.0,0.0,22.773301059549507,4.881124001069829,35.22808558290655,23.822895096501025
dynamic_range_expansion,540,3.225925925925926,2.382978620471477,0.9946759259259259,0.02119162076881634,0.9923611111111111,0.02606711719322703,0.5050925925925925,0.12581950159719815,0.5065972222222223,0.12720802549974278,0.9277777777777778,0.2588555057160387,0.9037037037037037,0.2949971518776278,0.0,0.0,0.0,0.0,23.057140594058566,5.848404042063901,26.171128599414672,27.1215938381358
encodec,778,3.302056555269923,2.4247059317396253,0.9951799485861182,0.021183259238766614,0.9542898457583547,0.09170199717054249,0.5085957583547558,0.1305077567453268,0.5007230077120822,0.12295270506992839,0.9395886889460154,0.23824731803469115,0.6645244215938303,0.47215645150650604,0.0,0.0,0.0,0.0,22.99566890157587,5.4828972140368135,7.540321323484336,8.978644951697541
eq,604,3.2086092715231787,2.4084960105347326,0.9958609271523179,0.02024129352039536,0.9860306291390728,0.03880408388422861,0.5008278145695364,0.12602780159956212,0.4982408940397351,0.1242350747889257,0.945364238410596,0.22726789290383667,0.8443708609271523,0.3625033932865897,0.0,0.0,0.0,0.0,23.412238147874543,5.946145336524554,11.473570070716718,4.016612959810924
gain,218,3.3256880733944953,2.4624483851424754,0.9936926605504587,0.0223108674981006,0.9856651376146789,0.03452768169111146,0.4954128440366973,0.13052756122252668,0.4908256880733945,0.12580750871223773,0.9174311926605505,0.27522935779816515,0.8256880733944955,0.37937748858963916,0.0,0.0,0.0,0.0,24.29707454978873,5.784184858520222,81.62017444295621,2.4129284040755516
gaussian_noise,514,3.2237354085603114,2.4107696221821997,0.9957441634241245,0.01841396587066819,0.9958657587548638,0.018234435148983943,0.4984192607003891,0.12707037863750897,0.4991488326848249,0.12478412381790856,0.9416342412451362,0.23443377947691935,0.943579766536965,0.2307314255124595,0.0,0.0,0.0,0.0,22.128093443028195,5.35205583835599,51.24224446070333,5.359604335480148
highpass,498,3.1666666666666665,2.3674358159629483,0.9964859437751004,0.016903215017402745,0.9875753012048193,0.03160184422852906,0.5060240963855421,0.12321050578839972,0.5076556224899599,0.1199902245788882,0.9518072289156626,0.21417335945338764,0.8433734939759037,0.36344826816863507,0.0,0.0,0.0,0.0,22.442906998247505,5.1061656251329195,2.2428060426754524,11.568715512803205
limiter,452,3.314159292035398,2.426526241964968,0.9950221238938053,0.024086738482208707,0.9944690265486725,0.02396577880895276,0.49986172566371684,0.1281744922356002,0.4987555309734513,0.12930972059783344,0.9469026548672567,0.22422760104991019,0.9380530973451328,0.24105908799780948,0.0,0.0,0.0,0.0,23.53631907437755,5.628306190006766,21.479521522479775,16.12980674140491
lowpass,566,3.1925795053003534,2.365090946160049,0.9938162544169611,0.02356460147143826,0.9937058303886925,0.024257371862621047,0.49149734982332155,0.12261766719141332,0.4939266784452297,0.1208354253215595,0.9204946996466431,0.27052579834292956,0.9222614840989399,0.2677596665791185,0.0,0.0,0.0,0.0,22.772756793894953,5.314798996379608,24.38226370538779,10.655160703109877
mp3,558,3.238351254480287,2.4019478666365024,0.9950716845878136,0.01989317945725208,0.9950716845878136,0.01953810873296309,0.4961917562724014,0.12319281432751437,0.49607974910394265,0.12224806366641537,0.9336917562724014,0.2488201369289872,0.9336917562724014,0.2488201369289872,0.0017921146953405018,0.042295425524035646,0.0,0.0,22.42218587560893,5.594580149127388,30.52862836084058,11.811834404243053
