attack_type,chunk_index,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,0,71,0.0,0.0,0.9973591549295775,0.012572937374195157,0.7244718309859155,0.08997839675479322,0.5105633802816901,0.11297138892363083,0.511443661971831,0.11553508549767973,0.9577464788732394,0.20116699798712254,0.0,0.0,0.0,0.0,0.0,0.0,23.274669284551916,5.353124509416247,-27.761230801192806,13.391986158224563
aac,1,71,1.0,0.0,0.9973591549295775,0.016374185948713267,0.7147887323943662,0.09366627386074752,0.4735915492957746,0.12703535356484888,0.4735915492957746,0.12875605578153046,0.971830985915493,0.16545549471085536,0.0,0.0,0.0,0.0,0.0,0.0,23.69237580097897,5.938181144371536,-31.42621444900271,16.004178096074426
aac,2,71,2.0,0.0,0.9947183098591549,0.02285344187631544,0.7297535211267606,0.10049100840021365,0.488556338028169,0.1136143262792406,0.5105633802816901,0.14228467620067678,0.9436619718309859,0.2305733175175338,0.0,0.0,0.0,0.0,0.0,0.0,22.980041987459426,5.810536122081443,-28.432242383419627,12.508937752272303
aac,3,71,3.0,0.0,0.9947183098591549,0.022853441876315436,0.7350352112676056,0.0946783778855546,0.5140845070422535,0.13067958842294689,0.5132042253521126,0.1271451033508175,0.9436619718309859,0.23057331751753382,0.0,0.0,0.0,0.0,0.0,0.0,23.078059814345668,5.531586669808134,-29.144041561744583,13.092205596178594
aac,4,60,4.0,0.0,0.9916666666666667,0.029017475577466912,0.73125,0.11197795541980574,0.4979166666666667,0.10075668574453121,0.503125,0.11263013306837562,0.9166666666666666,0.27638539919628335,0.0,0.0,0.0,0.0,0.0,0.0,24.08256597518921,5.698376757118996,-28.82817653020223,12.442437068239819
aac,5,60,5.0,0.0,0.9958333333333333,0.015590239111558088,0.725,0.09829271760071208,0.5,0.12129938856674698,0.4895833333333333,0.13412848835683225,0.9333333333333333,0.2494438257849294,0.0,0.0,0.0,0.0,0.0,0.0,23.56322498321533,5.817899292431509,-29.352886486053468,14.998714584735723
aac,6,39,6.0,0.0,0.9951923076923077,0.01665433468816228,0.7516025641025641,0.08431375921773016,0.4967948717948718,0.12495890185652518,0.5064102564102564,0.1103560596197873,0.9230769230769231,0.26646935501059654,0.02564102564102564,0.15806189751202507,0.0,0.0,0.0,0.0,23.701413521399864,5.984064951099256,-24.74207990597456,11.011371828753385
aac,7,39,7.0,0.0,0.9967948717948718,0.01378577767154267,0.7291666666666666,0.09529531248281095,0.4807692307692308,0.1366039026995262,0.483974358974359,0.11386102351494624,0.9487179487179487,0.22057244274468277,0.0,0.0,0.0,0.0,0.0,0.0,24.01017198807154,4.89642440914486,-28.4632140428592,13.873035047488083
aac,8,15,8.0,0.0,0.9958333333333333,0.015590239111558086,0.7583333333333333,0.07861650943380502,0.5625,0.10206207261596575,0.5625,0.07905694150420949,0.9333333333333333,0.24944382578492946,0.0,0.0,0.0,0.0,0.0,0.0,21.91214434305827,1.9132495981262585,-28.642881520589192,12.376385197600296
aac,9,15,9.0,0.0,0.9791666666666666,0.04370036867375632,0.8166666666666667,0.09537935951882998,0.5291666666666667,0.11829224638815325,0.55,0.0973610120462327,0.8,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,21.714091237386068,2.2417990413424675,-25.94813035329183,9.223445995764498
background_noise,0,72,0.0,0.0,1.0,0.0,1.0,0.0,0.4947916666666667,0.1283196353620304,0.5,0.1275775907699572,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.796400083435906,4.923748757183111,47.018936210208466,6.935085501333687
background_noise,1,72,1.0,0.0,0.9965277777777778,0.017704928866641614,0.9965277777777778,0.017704928866641614,0.4930555555555556,0.1185650769372491,0.4947916666666667,0.11206997287161465,0.9583333333333334,0.19982631347136334,0.9583333333333334,0.19982631347136334,0.0,0.0,0.0,0.0,23.592991338835823,5.308786066378789,47.02615626653036,6.940209782377477
background_noise,2,70,2.0,0.0,0.9964285714285714,0.014507211436849929,0.9964285714285714,0.014507211436849929,0.50625,0.13243512562760684,0.5044642857142857,0.13665382022333897,0.9428571428571428,0.23211538298959888,0.9428571428571428,0.23211538298959888,0.0,0.0,0.0,0.0,23.47700241633824,5.147159528923038,46.898756572178435,6.9880093338482405
background_noise,3,70,3.0,0.0,0.9973214285714286,0.012658434713176632,0.9973214285714286,0.012658434713176632,0.5044642857142857,0.12289360443165494,0.5008928571428571,0.12114265182765621,0.9571428571428572,0.2025349554108261,0.9571428571428572,0.2025349554108261,0.0,0.0,0.0,0.0,23.17383542742048,5.332362137411218,46.90449180603027,6.993317684949801
background_noise,4,58,4.0,0.0,0.9989224137931034,0.008135597451800376,0.9989224137931034,0.008135597451800376,0.4870689655172414,0.12103552656981871,0.4892241379310345,0.10645766409679715,0.9827586206896551,0.13016955922880602,0.9827586206896551,0.13016955922880602,0.0,0.0,0.0,0.0,23.25692920027108,4.8651578812875,46.48598986658557,7.032942832678798
