dataset,attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,background_noise,20,4.5,2.8722813232690143,0.984375,0.03890593624371479,0.984375,0.03890593624371479,0.525,0.1125,0.5125,0.10752906583803283,0.85,0.3570714214271425,0.85,0.3570714214271425,0.0,0.0,0.0,0.0,21.849654102325438,1.3740096791326548,49.567640686035155,8.226101208582168
Bach10,dynamic_range_compression,10,4.5,2.8722813232690143,0.99375,0.01875,0.99375,0.01875,0.49375,0.085923294280422,0.49375,0.085923294280422,0.9,0.30000000000000004,0.9,0.30000000000000004,0.0,0.0,0.0,0.0,20.878392028808594,2.2024277593002832,59.2679838180542,23.79854656985091
Bach10,encodec,8,3.5,2.29128784747792,1.0,0.0,0.8515625,0.10334966058846057,0.4765625,0.12077831901359615,0.40625,0.14657549249448218,1.0,0.0,0.125,0.33071891388307384,0.0,0.0,0.0,0.0,20.535760641098022,1.0686152158562168,10.326373934745789,0.48515343521756127
Bach10,gaussian_noise,26,3.8846153846153846,2.576923076923077,0.9879807692307693,0.02463209318740288,0.9879807692307693,0.02463209318740288,0.5,0.1511176312067472,0.5,0.146062091643878,0.8076923076923077,0.39411349099844606,0.8076923076923077,0.39411349099844606,0.0,0.0,0.0,0.0,22.416453508230354,1.474956784915825,54.14811486464281,5.090176548261767
Bach10,highpass,20,4.5,2.8722813232690143,0.978125,0.040864677595693816,0.971875,0.05029211543572212,0.5125,0.10383279828647594,0.5375,0.10716517624676404,0.75,0.4330127018922193,0.7,0.45825756949558394,0.0,0.0,0.0,0.0,21.643059539794923,1.5015981515370902,7.244527995586395,9.129697230184945
Bach10,quantization,10,4.5,2.8722813232690143,0.99375,0.01875,0.99375,0.01875,0.5125,0.11110243021644486,0.5125,0.11110243021644486,0.9,0.3,0.9,0.3,0.0,0.0,0.0,0.0,22.693565559387206,1.3866068904052788,51.48734741210937,0.025989854128374942
Clotho,aac,348,2.9482758620689653,2.1179778942854264,0.9962284482758621,0.018873146431182108,0.7221623563218391,0.09756156436616924,0.4985632183908046,0.11891700729552825,0.5014367816091954,0.12345562175804287,0.9568965517241379,0.2030899825756853,0.0028735632183908046,0.0535285517534401,0.0,0.0,0.0,0.0,23.754028605318616,6.323980038585705,-30.292511549146695,13.966842438487374
Clotho,background_noise,360,2.922222222222222,2.125128899503786,0.9982638888888888,0.011278042895077582,0.9982638888888888,0.011278042895077582,0.5017361111111112,0.12002794733074501,0.5017361111111112,0.11912050306955226,0.975,0.15612494995995996,0.975,0.15612494995995996,0.0,0.0,0.0,0.0,23.44767101075914,5.681978635118864,46.58785923851861,7.073159748441743
Clotho,dac,454,2.746696035242291,2.059612706874543,0.9966960352422908,0.02089247977509953,0.5272577092511013,0.1260162290088348,0.49421806167400884,0.11652560089939618,0.4954570484581498,0.11938811428940131,0.9647577092511013,0.18439162587186209,0.0,0.0,0.0,0.0,0.0,0.0,23.43744208844223,7.118042338291349,0.26567288213368456,8.756965165921873
Clotho,dynamic_range_compression,376,2.8617021276595747,2.0813307109379195,0.9965093085106383,0.01700279368629943,0.9961768617021277,0.017534008648909197,0.5049867021276596,0.12049763762925156,0.504654255319149,0.12016561104424568,0.9521276595744681,0.21349608766371783,0.9468085106382979,0.22441513946520197,0.0,0.0,0.0,0.0,22.876964853165,5.387912619656658,35.59080736687843,23.910895682464904
