attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,922,3.8752711496746204,2.7122794965629344,0.9975596529284165,0.014050158793960536,0.7299349240780911,0.09555102551318397,0.4996610629067245,0.12126631129929301,0.49877982646420826,0.12366506180243048,0.9674620390455532,0.1774239049603343,0.0,0.0,0.0,0.0,0.0,0.0,23.464937075616998,4.837961505559765,-29.21735963354659,12.489530813633676
background_noise,808,3.737623762376238,2.663554964059135,0.997447400990099,0.013845483703638589,0.9959003712871287,0.01910800885328959,0.5034808168316832,0.12151893698256412,0.502243193069307,0.11982558985195385,0.9641089108910891,0.186018598079566,0.948019801980198,0.2219870650142124,0.0,0.0,0.0,0.0,23.471789711772807,4.697927865590905,27.578985502224157,4.427007082234101
dac,1384,3.8728323699421967,2.751985423215033,0.9972001445086706,0.01849710100647821,0.5282243497109826,0.12646759160534266,0.49742593930635837,0.11591648708827614,0.4926842485549133,0.1264037595035522,0.9667630057803468,0.17925483657323146,0.0,0.0,0.0,0.0,0.0,0.0,23.276638140568153,5.14606107813845,3.1380011665048024,6.061077481393571
dynamic_range_compression,888,3.765765765765766,2.689502298158711,0.9971846846846847,0.01680486214067949,0.9922578828828829,0.031556344303294785,0.49985923423423423,0.1246475093268838,0.5026041666666666,0.12541208701906179,0.9650900900900901,0.1835516496792984,0.9166666666666666,0.2763853991962833,0.0,0.0,0.0,0.0,23.3400721367415,4.35194423221469,11.622310312691372,3.5218921412807354
dynamic_range_expansion,930,3.760215053763441,2.6743561092182864,0.9962365591397849,0.02035347469712488,0.9897177419354839,0.03688046890020508,0.5032930107526882,0.12874788401881587,0.5053091397849462,0.12779616613089242,0.9559139784946237,0.20528624944989338,0.9010752688172043,0.2985609296997973,0.0,0.0,0.0,0.0,23.428951481849918,5.0049805019313425,5.29283532826931,3.980381327523418
encodec,1368,3.818713450292398,2.693266584372489,0.9975328947368421,0.013921013076309894,0.9480994152046783,0.09391212484360296,0.5042945906432749,0.13044978638918683,0.5059393274853801,0.12678781563350233,0.966374269005848,0.18026381003756956,0.6169590643274854,0.4861281490220856,0.0,0.0,0.0,0.0,23.5065941399301,4.721287780856073,8.731459439122146,7.148349673844862
eq,1084,3.7804428044280445,2.701261388325291,0.9976937269372693,0.012948033992267712,0.9117850553505535,0.12063555335131103,0.5007495387453874,0.12741051142781146,0.4993081180811808,0.12366484765948196,0.966789667896679,0.17918539545651638,0.4317343173431734,0.49531787427004637,0.0,0.0,0.0,0.0,23.61653901818054,4.9580284728748625,2.380793597945807,3.67737114756611
gain,368,3.8043478260869565,2.699593892303959,0.9966032608695652,0.016901977316066207,0.9915081521739131,0.03111494623479582,0.4859035326086957,0.13347142693540387,0.4860733695652174,0.12119410992267891,0.9565217391304348,0.20393111999232305,0.907608695652174,0.2895775392338526,0.0,0.0,0.0,0.0,24.00812508748925,5.01778631700559,91.18220808195031,9.624270686571862
gaussian_noise,844,3.7227488151658767,2.6745073565823834,0.9965936018957346,0.016870239558493063,0.9917061611374408,0.039148302729366806,0.489114336492891,0.12751826705184527,0.4908915876777251,0.12736714958795986,0.9537914691943128,0.20993642486826122,0.9241706161137441,0.2647249297396955,0.0,0.0,0.0,0.0,22.52604640151652,4.899891819769336,29.337792984117264,5.464716238340629
highpass,848,3.7169811320754715,2.6697279805646943,0.9974941037735849,0.01401439499662067,0.9624852594339622,0.055366819913539866,0.5061910377358491,0.12178348427565755,0.5048643867924528,0.12386838916960627,0.964622641509434,0.18473170003222514,0.5884433962264151,0.49211560193102727,0.0,0.0,0.0,0.0,23.164688209317767,4.713331504541703,-9.68686854076475,9.577793410432163
limiter,852,3.8708920187793425,2.7105683711065733,0.9973591549295775,0.017193683965338564,0.985768779342723,0.05847618942352444,0.4944982394366197,0.12218811138006887,0.4932511737089202,0.12191892580913512,0.9694835680751174,0.17200342818518657,0.8908450704225352,0.31183349872392396,0.0,0.0,0.0,0.0,24.000290785596963,4.756055679780999,7.696198819843536,3.8705337465676997
lowpass,1066,3.8058161350844277,2.69542102514228,0.9965994371482176,0.017423390600595192,0.9937851782363978,0.024172793108302303,0.48944652908067543,0.11699894545858848,0.49079502814258913,0.11877494786284258,0.9549718574108818,0.20736588187089078,0.924953095684803,0.26346701210569545,0.0,0.0,0.0,0.0,23.101933438156156,4.600721450148524,14.410092137851814,7.136878519618473
mp3,898,3.7160356347438754,2.6614021387121762,0.9971464365256125,0.015202108838474997,0.9938056792873051,0.021082557020138434,0.4994432071269488,0.1252768497801087,0.500695991091314,0.12638240044427795,0.9610244988864143,0.1935365893740267,0.9131403118040089,0.2816293357633155,0.0011135857461024498,0.03335184661886845,0.0,0.0,22.892177867464603,5.037687148420676,17.010553424327505,6.601259685776787
phase_shift,448,3.75,2.7206223027619463,0.9963727678571429,0.024437568403624443,0.6252790178571429,0.19564683597191423,0.49623325892857145,0.12943353898576437,0.501953125,0.1257497915684956,0.9642857142857143,0.18557687223952257,0.078125,0.26836818808308854,0.0,0.0,0.0,0.0,23.916783518024854,5.538533396540081,-21.51095105341769,13.490088122062419
polarity,410,3.8073170731707315,2.6768101004925158,0.9981707317073171,0.011403417200771369,0.18201219512195121,0.14559195768984606,0.49801829268292686,0.12185791018696263,0.49832317073170734,0.12721755832448609,0.973170731707317,0.16158421536635986,0.0,0.0,0.0,0.0,0.0,0.0,23.400915618059113,5.603270541135953,90.4403144650343,0.7643238576733467
quantization,506,3.741106719367589,2.6891249955283603,0.9983942687747036,0.0120041242401772,0.9983942687747036,0.0120041242401772,0.4955533596837945,0.1201967060317646,0.495800395256917,0.12007707784731315,0.9782608695652174,0.1458305202717254,0.9782608695652174,0.1458305202717254,0.0,0.0,0.0,0.0,23.820885155040756,4.956477914078534,60.91330121157198,8.163757506479536
