dataset,attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,background_noise,20,4.5,2.8722813232690143,0.984375,0.03890593624371479,0.98125,0.04881406047441659,0.525,0.1125,0.521875,0.12850553246845056,0.85,0.3570714214271425,0.85,0.3570714214271425,0.0,0.0,0.0,0.0,21.849514961242676,1.374058634670797,26.069224262237547,2.826307033629856
Bach10,dynamic_range_compression,10,4.5,2.8722813232690143,0.99375,0.01875,0.9625,0.0414578098794425,0.49375,0.085923294280422,0.5125,0.10383279828647594,0.9,0.30000000000000004,0.5,0.5,0.0,0.0,0.0,0.0,20.87795066833496,2.2026223786071815,13.091052150726318,1.7823929685203577
Bach10,encodec,8,3.5,2.29128784747792,1.0,0.0,0.8515625,0.10797089813347854,0.4765625,0.12077831901359615,0.3984375,0.1286099815090182,1.0,0.0,0.125,0.33071891388307384,0.0,0.0,0.0,0.0,20.535611867904663,1.0687371520777,10.330580711364746,0.4954439668940055
Bach10,gaussian_noise,26,3.8846153846153846,2.576923076923077,0.9879807692307693,0.02463209318740288,0.9855769230769231,0.031526146751451926,0.5,0.1511176312067472,0.5,0.146062091643878,0.8076923076923077,0.39411349099844606,0.8076923076923077,0.39411349099844606,0.0,0.0,0.0,0.0,22.416510802048904,1.4751572869547012,35.10807785621056,0.7606402370967787
Bach10,highpass,20,4.5,2.8722813232690143,0.978125,0.040864677595693816,0.925,0.08970437559004577,0.5125,0.10383279828647594,0.503125,0.11936518284240175,0.75,0.4330127018922193,0.4,0.48989794855663565,0.0,0.0,0.0,0.0,21.643016147613526,1.501700657943673,-7.71280608177185,2.6638418351519126
Bach10,quantization,10,4.5,2.8722813232690143,0.99375,0.01875,0.99375,0.01875,0.5125,0.11110243021644486,0.5125,0.11110243021644486,0.9,0.3,0.9,0.3,0.0,0.0,0.0,0.0,22.693173217773438,1.3865396207273932,63.50655097961426,0.023446073928933633
Clotho,aac,348,2.9482758620689653,2.1179778942854264,0.9962284482758621,0.018873146431182108,0.7167744252873564,0.1016572170432014,0.4985632183908046,0.11882257744840011,0.4992816091954023,0.12282382021091671,0.9568965517241379,0.2030899825756853,0.0,0.0,0.0,0.0,0.0,0.0,23.753643773067957,6.32416356417278,-30.42893569907923,14.278782915570945
Clotho,background_noise,360,2.922222222222222,2.125128899503786,0.9982638888888888,0.011278042895077582,0.9965277777777778,0.017081074828123394,0.5015625,0.11989465681438388,0.4987847222222222,0.1203503227384795,0.975,0.15612494995995996,0.9555555555555556,0.20608041101101562,0.0,0.0,0.0,0.0,23.44734354548984,5.682266967609126,27.149261734220715,4.273618262769386
Clotho,dac,454,2.746696035242291,2.059612706874543,0.9966960352422908,0.02089247977509953,0.5265693832599119,0.1290290158299727,0.49366740088105726,0.11605298688741827,0.4917400881057269,0.12299012200581579,0.9647577092511013,0.18439162587186209,0.0,0.0,0.0,0.0,0.0,0.0,23.437092293726714,7.118331222766773,-0.6485264478497502,8.687514516677401
Clotho,dynamic_range_compression,376,2.8617021276595747,2.0813307109379195,0.9965093085106383,0.01700279368629943,0.988031914893617,0.03976597487847255,0.5049867021276596,0.1201522741029181,0.5034906914893617,0.12128056444578332,0.9521276595744681,0.21349608766371783,0.8829787234042553,0.32144563680293886,0.0,0.0,0.0,0.0,22.876586021261012,5.388119368288327,13.171659322990541,3.8550608449703803
