feature,pearson,abs_pearson,spearman,abs_spearman
hard/distorted_mean,0.9702108644188572,0.9702108644188572,0.9936066892961343,0.9936066892961343
bitwise/clean_std,-0.5154725411818691,0.5154725411818691,-0.34586466165413526,0.34586466165413526
bitwise/distorted_std,-0.4932177360174968,0.4932177360174968,-0.8947368421052632,0.8947368421052632
chunk_index_std,-0.43694286858690173,0.43694286858690173,-0.38345864661654133,0.38345864661654133
sisnr_attack_mean,0.4108523674155206,0.4108523674155206,0.6796992481203006,0.6796992481203006
bitwise/clean_mean,0.33054616172991697,0.33054616172991697,0.2526315789473684,0.2526315789473684
bitwise/no_watermark_distorted_std,0.3094247124976824,0.3094247124976824,0.21954887218045113,0.21954887218045113
bitwise/no_watermark_distorted_mean,0.2958226731132669,0.2958226731132669,0.306766917293233,0.306766917293233
msg_l_std,-0.24277045907470357,0.24277045907470357,-0.2571428571428572,0.2571428571428572
sisnr_wm_mean,-0.2079640241999036,0.2079640241999036,-0.17142857142857143,0.17142857142857143
hard/clean_std,-0.20201890065844577,0.20201890065844577,-0.22556390977443608,0.22556390977443608
hard/clean_mean,0.19499557103888315,0.19499557103888315,0.22556390977443608,0.22556390977443608
bitwise/no_watermark_clean_std,0.18279886412592497,0.18279886412592497,0.10676691729323308,0.10676691729323308
chunk_index_mean,-0.17802769913602928,0.17802769913602928,-0.09172932330827067,0.09172932330827067
msg_l_mean,-0.16022834721700027,0.16022834721700027,-0.34736842105263155,0.34736842105263155
sisnr_attack_std,0.14943229895234175,0.14943229895234175,-0.07368421052631578,0.07368421052631578
hard/distorted_std,0.06871061440311693,0.06871061440311693,-0.42798047404201395,0.42798047404201395
sisnr_wm_std,-0.01894554608850627,0.01894554608850627,0.06165413533834586,0.06165413533834586
bitwise/no_watermark_clean_mean,-0.01702099023393367,0.01702099023393367,0.3578947368421052,0.3578947368421052
hard/no_watermark_clean_mean,,,,
hard/no_watermark_clean_std,,,,
hard/no_watermark_distorted_mean,,,,
hard/no_watermark_distorted_std,,,,
