attack_type,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,653,2.5957120980091886,1.9031963095706355,0.0280532362124766,0.10362676415883537,0.9785604900459418,0.14484425210200103,0.9985643185298622,0.009981629268364234,0.9310872894333844,0.2533056432237101,0.9579823889739663,0.1674600157870575,0.0,0.0,0.32762251148545174,0.1251379954925667,0.0,0.0,0.3248468606431853,0.1183004628868413,48.9280461987529,0.4769847447984612,-30.474457870581247,12.823822796887626
background_noise,576,2.5086805555555554,1.8745168809173567,0.02154862348091782,0.06569117134856375,0.9947916666666666,0.07198059875565237,0.9996744791666666,0.004498787422228273,0.9913194444444444,0.09276423616244824,0.9994574652777778,0.005797764760153015,0.0,0.0,0.3305121527777778,0.11576567204716696,0.0,0.0,0.3258463541666667,0.11838893318463846,48.96861465109719,0.5561409981920742,46.980283995469414,7.148975722751422
dac,978,2.576687116564417,1.9235778658503628,0.029589470795389813,0.10275293414619713,0.9856850715746421,0.11878556835548146,0.9984023517382413,0.01769132702001297,0.0,0.0,0.33224693251533743,0.12664073952630114,0.0,0.0,0.32636758691206547,0.11610152898750435,0.0,0.0,0.3260480572597137,0.11333698301582606,49.05080084225395,0.7902104083622017,3.9474250889537523,5.9675390889026785
dynamic_range_compression,630,2.5142857142857142,1.8878775470493474,0.023706096373336462,0.08401330072879387,0.9904761904761905,0.09712418121129116,0.9993055555555556,0.0074378302173518105,0.9873015873015873,0.11196947357808507,0.9989087301587302,0.011891940847383235,0.0,0.0,0.3263888888888889,0.11687080590707247,0.0,0.0,0.3225198412698413,0.11461871576295649,48.91283077663846,0.852359851615149,32.889056920248365,23.186323495976755
dynamic_range_expansion,656,2.5076219512195124,1.8789437752997444,0.019965182837170792,0.062449734501119215,0.9923780487804879,0.08697043796095066,0.9995236280487805,0.0054356523725594165,0.9283536585365854,0.257901421512799,0.9832317073170732,0.08385185634032925,0.0,0.0,0.31878810975609756,0.11292053208313878,0.0,0.0,0.3234565548780488,0.11881717298975547,48.99563764944309,0.4699489610078651,25.959349200140867,26.93429990089448
encodec,972,2.558641975308642,1.8920609007284184,0.029970762164761158,0.09715096630764494,0.9886831275720165,0.10577712808746645,0.9987139917695473,0.016480986979013162,0.0,0.0,0.3384130658436214,0.12499859424750197,0.0,0.0,0.33024691358024694,0.11681726717496475,0.0,0.0,0.3159079218106996,0.11147419846243177,49.03184885645109,0.6484448173551585,9.429797875775416,7.480499630133377
eq,768,2.5247395833333335,1.894183100886279,0.042896619458868024,0.1338732574053406,0.9791666666666666,0.1428261375083551,0.9977213541666666,0.019000492379573554,0.9401041666666666,0.23729374724724395,0.9896647135416666,0.05606517568095806,0.0,0.0,0.3356119791666667,0.11738219864879243,0.0,0.0,0.3318684895833333,0.11517907376401024,49.05272283653418,0.9462042191359544,11.66558917456617,3.480252824648565
gain,262,2.553435114503817,1.8949026726773182,0.016715820095195608,0.06300098581383315,0.9923664122137404,0.08703629199230059,0.9995229007633588,0.005439768249518788,0.9923664122137404,0.08703629199230059,0.9995229007633588,0.005439768249518788,0.0,0.0,0.3401717557251908,0.12335760358634681,0.0,0.0,0.3320610687022901,0.11598811341607254,48.94685940342095,0.5623390300563633,83.29061851792663,2.3435508066710953
gaussian_noise,595,2.477310924369748,1.8770814541939775,0.0297237184707877,0.08416678019802896,0.9915966386554622,0.0912838696739514,0.9993697478991597,0.007219680788840161,0.9899159663865547,0.0999116904047183,0.9992647058823529,0.007651501618266519,0.0,0.0,0.32331932773109245,0.11439147973010128,0.0,0.0,0.33035714285714285,0.11717718291919614,49.06236249138327,0.5051826450189877,50.58779103255072,5.369198124289496
highpass,603,2.4892205638474296,1.8762193088673953,0.02581968217321358,0.06155328464384316,0.9966832504145937,0.057495641205173184,0.9997927031509121,0.0035934775753233236,0.9767827529021559,0.15059285021222546,0.9954394693200663,0.04572787126031893,0.0,0.0,0.3150912106135987,0.11353870026005833,0.0,0.0,0.324212271973466,0.11579454291030568,48.96186011268527,0.4167205106744458,2.6543569614489875,10.5528876681357
limiter,605,2.5950413223140494,1.9024929812609066,0.03405456402618809,0.10289093271142918,0.9950413223140496,0.07024307226735794,0.9994834710743802,0.00760543897491982,0.9785123966942149,0.145003055864207,0.9959710743801653,0.035798696679762994,0.0,0.0,0.32117768595041324,0.11689468417354831,0.0,0.0,0.31849173553719007,0.11645481128830411,48.93979547674006,1.2933268328875256,22.748745202624107,17.159615059530797
lowpass,754,2.5411140583554377,1.8920556601070029,0.0252763337138686,0.08246480694327603,0.993368700265252,0.08116234101217104,0.9995855437665783,0.005072646313260691,0.993368700265252,0.08116234101217104,0.9995855437665783,0.005072646313260691,0.0,0.0,0.3318136604774536,0.10975029573017492,0.0,0.0,0.3316478779840849,0.10949582287737071,49.01276712898234,0.5350425912656674,26.030315609722933,9.869099073375326
mp3,638,2.489028213166144,1.8718435071318003,0.040760119636453235,0.10925432932030985,0.9780564263322884,0.14649932847082034,0.9981387147335423,0.014091949153682433,0.7539184952978056,0.43072659280069797,0.9073275862068966,0.20264872642985124,0.0,0.0,0.31837774294670845,0.12143115987778046,0.0,0.0,0.33101489028213166,0.11807344632948917,49.112878368939725,0.7259716094170412,31.730256455071668,10.137354097072988
phase_shift,317,2.4921135646687698,1.902372985941333,0.028225832929319596,0.07824008471705439,0.9936908517350158,0.07917918232183681,0.9996056782334385,0.0049486988951148005,0.35962145110410093,0.4798894278996794,0.7346214511041009,0.2810211470546311,0.0,0.0,0.326301261829653,0.11539083878991964,0.0,0.0,0.33024447949526814,0.11506495632030657,49.101804005234776,0.6777511895778612,-23.650962388853923,11.104851846330194
polarity,293,2.5631399317406145,1.8840826986179229,0.038827085480933776,0.11703755705598892,0.9761092150170648,0.15270892369417816,0.998080204778157,0.014010462349550366,0.9761092150170648,0.15270892369417816,0.998080204778157,0.014010462349550366,0.0,0.0,0.32807167235494883,0.12440195496417937,0.0,0.0,0.3263651877133106,0.12406756560796327,49.09090069455092,0.7571604187260007,92.2156893368874,0.6985709825295026
quantization,360,2.5027777777777778,1.887088602864669,0.02934211394003516,0.10096654222613048,0.9833333333333333,0.12801909579781015,0.9984375,0.013491493590613144,0.9833333333333333,0.12801909579781015,0.9980902777777778,0.015681802615011224,0.0,0.0,0.32430555555555557,0.12956740404653488,0.0,0.0,0.3217013888888889,0.12779841601897843,48.942572848002115,0.8168219980040271,63.8295181274414,8.739550686589812
reverb,595,2.561344537815126,1.9011323137990699,0.027106813234128835,0.07667647145489769,0.9949579831932773,0.07082792438892598,0.9996848739495798,0.0044267452743078734,0.7915966386554621,0.4061667149396117,0.9465336134453781,0.13953257399715216,0.0,0.0,0.32037815126050423,0.11548747551844823,0.0,0.0,0.32373949579831934,0.11296466780004424,49.02731815626641,0.5340719400316299,9.38063483438572,1.880986405805595
time_jitter,232,2.5474137931034484,1.9090059340823105,0.01055543402822083,0.0304378458271437,1.0,0.0,1.0,0.0,0.6896551724137931,0.46263475396547377,0.9008620689655172,0.20153455024026767,0.0,0.0,0.32165948275862066,0.11482109583176918,0.0,0.0,0.32165948275862066,0.10895217234343313,48.9459040576014,0.39613797010021107,32.49464876076271,7.401719083727161
time_stretch,324,2.5308641975308643,1.9089549836771524,0.036823329322960924,0.12672797777697734,0.9722222222222222,0.16433554953054486,0.9974922839506173,0.016462286745984787,0.2037037037037037,0.4027511698320656,0.6493055555555556,0.24520380003047,0.0,0.0,0.3236882716049383,0.11555862730201596,0.0,0.0,0.3269675925925926,0.11701125578603173,48.90396676240144,0.6702369311419636,-5.8733012749824995,9.088938795529113
