dataset,attack_type,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,background_noise,14,3.0,2.0,0.001817383286641347,0.0038408629375066158,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.35267857142857145,0.08713938078546042,0.0,0.0,0.32142857142857145,0.10526630466563926,48.6047123500279,0.13681209410559808,49.568481172834126,8.226820018605046
Bach10,dynamic_range_compression,7,3.0,2.0,0.00026960621737865276,0.0003350195162276739,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.15971914124998499,0.0,0.0,0.2767857142857143,0.1411731098289455,48.550005776541575,0.08408542185109862,57.897671290806365,21.93112771984889
Bach10,encodec,6,2.5,1.707825127659933,2.7224117976250756e-05,2.828178674967545e-05,1.0,0.0,1.0,0.0,0.0,0.0,0.34375,0.09375,0.0,0.0,0.2916666666666667,0.09316949906249122,0.0,0.0,0.34375,0.06987712429686843,48.78080495198568,0.05002276134620454,10.3054092725118,0.30344205024278137
Bach10,gaussian_noise,19,2.6842105263157894,1.8368345649068574,0.001239063413463173,0.0024389244246327663,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.32894736842105265,0.09032585669569723,0.0,0.0,0.3355263157894737,0.08164258977625564,48.57447232698139,0.11038717314855231,54.31808792917352,5.0452487524117355
Bach10,highpass,14,3.0,2.0,0.0009649925593565894,0.003127849849451396,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.32589285714285715,0.11124942673550993,0.0,0.0,0.3080357142857143,0.09289576806555719,48.63462693350656,0.09365873361171778,7.133426691804614,9.166675101740507
Bach10,quantization,7,3.0,2.0,0.0010490083231421096,0.0021007872636584087,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.33035714285714285,0.13243211584099399,0.0,0.0,0.32142857142857145,0.1509958439757836,48.63842991420201,0.10238986140388379,51.47407913208008,0.014732927657339431
Clotho,aac,251,2.0199203187250996,1.572802201981947,0.06866480021845468,0.1579659435697761,0.9442231075697212,0.22949037169585126,0.9962649402390438,0.015830857893677622,0.8207171314741036,0.3835890008577182,0.890687250996016,0.256124776607115,0.0,0.0,0.32046812749003983,0.1228601907624392,0.0,0.0,0.3304282868525896,0.12103694094103638,49.057949658884,0.6473733724608582,-31.037409944363326,14.369954781438892
Clotho,background_noise,261,2.003831417624521,1.5768878712683292,0.0452252046824777,0.09201925499136038,0.9885057471264368,0.10659331604018046,0.9992816091954023,0.006662082252511279,0.9808429118773946,0.13707696413791812,0.9988026819923371,0.008567310258619882,0.0,0.0,0.3321360153256705,0.1143864261542292,0.0,0.0,0.3271072796934866,0.11363197630491201,49.138786169760984,0.7103774725526355,46.642582948180454,7.05939261105539
Clotho,dac,325,1.84,1.5045367291065943,0.08545877141691635,0.16445856926630067,0.9569230769230769,0.2030302976778292,0.9951923076923077,0.03043690729104695,0.0,0.0,0.3421153846153846,0.13932476640046587,0.0,0.0,0.33076923076923076,0.11567271724478898,0.0,0.0,0.33615384615384614,0.11321616231035224,49.41706946739784,1.2168739312764538,0.22431199491024018,8.645972689579484
Clotho,dynamic_range_compression,270,1.9444444444444444,1.5398011736328125,0.052958165645155854,0.12224250601925592,0.9777777777777777,0.14740554623801777,0.9983796296296297,0.011295252684033195,0.9703703703703703,0.16956330581125328,0.9974537037037037,0.018062973310092042,0.0,0.0,0.3199074074074074,0.11207529190790193,0.0,0.0,0.3277777777777778,0.1139735457718258,48.983844672309026,1.2348629146960421,35.58057536372432,24.01714586901831
