feature,pearson,abs_pearson,spearman,abs_spearman
hard/distorted_mean,0.998808033906686,0.998808033906686,0.9802880970432148,0.9802880970432148
chunk_index_std,-0.37281816819801034,0.37281816819801034,-0.02416026870294263,0.02416026870294263
chunk_index_mean,-0.31967115464096474,0.31967115464096474,-0.1570417465691271,0.1570417465691271
hard/clean_std,-0.24981052977564755,0.24981052977564755,-0.5815221062565736,0.5815221062565736
hard/distorted_std,0.22726290410090308,0.22726290410090308,-0.5424865226631508,0.5424865226631508
sisnr_attack_mean,0.2120646646926844,0.2120646646926844,0.18346704046297058,0.18346704046297058
hard/clean_mean,0.1658590577697556,0.1658590577697556,0.5815221062565736,0.5815221062565736
sisnr_wm_std,0.15083420129781577,0.15083420129781577,-0.0687057641239931,0.0687057641239931
sisnr_attack_std,0.14651190249757198,0.14651190249757198,0.25141779618999677,0.25141779618999677
bitwise/distorted_std,0.13296246794550468,0.13296246794550468,-0.557789386490038,0.557789386490038
sisnr_wm_mean,-0.1171417287957577,0.1171417287957577,0.0951310580178366,0.0951310580178366
bitwise/no_watermark_clean_std,0.08239710383848091,0.08239710383848091,0.21973209017541118,0.21973209017541118
bitwise/no_watermark_clean_mean,0.08239710383848084,0.08239710383848084,0.21973209017541118,0.21973209017541118
bitwise/no_watermark_distorted_std,0.08108566714438563,0.08108566714438563,-0.05992693368420306,0.05992693368420306
bitwise/no_watermark_distorted_mean,0.08108566714438559,0.08108566714438559,-0.05992693368420306,0.05992693368420306
bitwise/clean_mean,-0.06957795171667788,0.06957795171667788,0.5838622354568012,0.5838622354568012
bitwise/clean_std,0.06853180411078333,0.06853180411078333,-0.5838622354568012,0.5838622354568012
hard/no_watermark_clean_mean,,,,
hard/no_watermark_clean_std,,,,
hard/no_watermark_distorted_mean,,,,
hard/no_watermark_distorted_std,,,,
