attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,653,2.5957120980091886,1.9031963095706355,1.0,0.0,0.9997128637059725,0.005461463483034879,0.0,0.0,0.0,0.0,1.0,0.0,0.996937212863706,0.05525763722103743,0.0,0.0,0.0,0.0,35.36849979091019,1.9883334242077444,-30.474480648318256,12.822724464487065
background_noise,576,2.5086805555555554,1.8745168809173567,1.0,0.0,0.9998914930555556,0.002601905123325043,0.0,0.0,0.0,0.0,1.0,0.0,0.9982638888888888,0.04163048197320069,0.0,0.0,0.0,0.0,35.09849375486374,2.142473544519621,46.98028328683641,7.1489756495340595
dac,978,2.576687116564417,1.9235778658503628,0.999808282208589,0.003456241636756125,0.0,0.0,0.0,0.0,0.0,0.0,0.9969325153374233,0.055299866188098,0.0,0.0,0.0,0.0,0.0,0.0,35.29448556802512,1.9746838889559524,3.9474127954957674,5.967536787299352
dynamic_range_compression,630,2.5142857142857142,1.8878775470493474,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.159898994082496,2.4209948248556024,32.88904488124545,23.18629852989894
dynamic_range_expansion,656,2.5076219512195124,1.8789437752997444,0.9998094512195121,0.003445720525919422,0.9996189024390244,0.004865527947714827,0.0,0.0,0.0,0.0,0.9969512195121951,0.05513152841471075,0.9939024390243902,0.07784844716343724,0.0,0.0,0.0,0.0,34.96858752646097,2.229839800619555,25.959347752854228,26.934297339648634
encodec,972,2.558641975308642,1.8920609007284184,0.9996784979423868,0.005294153989836598,0.0,0.0,0.0,0.0,0.0,0.0,0.9958847736625515,0.06401789788520183,0.0,0.0,0.0,0.0,0.0,0.0,35.22843347753517,2.1192533666723814,9.429797357285526,7.48050528492563
eq,768,2.5247395833333335,1.894183100886279,0.9998372395833334,0.0031852841456349165,0.9999186197916666,0.0022538057330934616,0.0005696614583333334,0.015776640131654234,0.0,0.0,0.9973958333333334,0.050964546330158664,0.9986979166666666,0.036060891729495385,0.0,0.0,0.0,0.0,34.98340808600187,2.470716269039615,11.665589110925794,3.4802528227629255
gain,262,2.553435114503817,1.8949026726773182,1.0,0.0,0.9942748091603053,0.06458838295506274,0.0,0.0,0.0,0.0,1.0,0.0,0.9847328244274809,0.12261357560464894,0.0,0.0,0.0,0.0,35.528100042852735,1.9015056379362762,83.29061901296367,2.343550700728273
gaussian_noise,595,2.477310924369748,1.8770814541939775,1.0,0.0,0.9982142857142857,0.04103716144481461,0.0,0.0,0.0008403361344537816,0.02048076908731755,1.0,0.0,0.9966386554621849,0.05787958103436156,0.0,0.0,0.0,0.0,35.09414160912778,2.0220749083044516,50.58779037219136,5.369198233494584
highpass,603,2.4892205638474296,1.8762193088673953,0.9998963515754561,0.002543085436647035,0.9998963515754561,0.002543085436647035,0.0,0.0,0.0,0.0,0.9983416252072969,0.04068936698635256,0.9983416252072969,0.04068936698635256,0.0,0.0,0.0,0.0,35.02882407711908,2.1017816285068447,2.654364563024311,10.552898636723102
limiter,605,2.5950413223140494,1.9024929812609066,0.9993801652892562,0.009487273945387483,0.9981404958677685,0.040929955443985984,0.0,0.0,0.0,0.0,0.9950413223140496,0.07024307226735794,0.996694214876033,0.05740084414606723,0.0,0.0,0.0,0.0,35.18907097430269,2.299194272624235,22.74874629481765,17.159618457296805
lowpass,754,2.5411140583554377,1.8920556601070029,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.272788923046,2.0229908024174907,26.03159112769824,9.87236480745593
mp3,638,2.489028213166144,1.8718435071318003,0.9905956112852664,0.09651914933128936,0.991673197492163,0.08830780373285745,0.0,0.0,0.0,0.0,0.9905956112852664,0.09651914933128936,0.9843260188087775,0.1242107382831282,0.0,0.0,0.0,0.0,34.861950195695165,2.4837337929784877,31.731856076321257,10.137116550027084
phase_shift,317,2.4921135646687698,1.902372985941333,0.9998028391167192,0.003504808524178072,1.0,0.0,0.0,0.0,0.0,0.0,0.9968454258675079,0.05607693638684913,1.0,0.0,0.0,0.0,0.0,0.0,35.51321397895693,1.9564344212941167,-23.650962450526865,11.10485181457109
polarity,293,2.5631399317406145,1.8840826986179229,1.0,0.0,0.9997866894197952,0.00364505279237096,0.0,0.0,0.0,0.0,1.0,0.0,0.9965870307167235,0.05832084467793536,0.0,0.0,0.0,0.0,35.04642139604067,2.0584146261919227,92.2156898055874,0.6985710874850388
quantization,360,2.5027777777777778,1.887088602864669,0.9998263888888889,0.0032894609933153502,0.9998263888888889,0.0032894609933153502,0.0,0.0,0.0,0.0,0.9972222222222222,0.052631375893045604,0.9972222222222222,0.052631375893045604,0.0,0.0,0.0,0.0,35.079251760906644,2.3867384878701756,63.829518985748294,8.739550958398192
reverb,595,2.561344537815126,1.9011323137990699,0.9980042016806723,0.0411871877666756,0.9940126050420168,0.060174133244286554,0.0,0.0,0.0,0.0,0.9932773109243698,0.08171593802449222,0.9680672268907563,0.17582113385710282,0.0,0.0,0.0,0.0,35.37764160733263,2.0236489202426675,9.380634121934907,1.8809864656586945
time_jitter,232,2.5474137931034484,1.9090059340823105,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.47014483090105,1.7835536044896858,32.505638755601026,7.409223559696644
time_stretch,324,2.5308641975308643,1.9089549836771524,0.9998070987654321,0.0034668597136596124,0.9546682098765432,0.1977811569823811,0.0,0.0,0.0,0.0,0.9969135802469136,0.055469755418553784,0.9228395061728395,0.2668459331140522,0.0,0.0,0.0,0.0,35.24064785168495,2.098572707967697,-5.873301781943919,9.088934347484583
vorbis,678,2.4690265486725664,1.8676131019058022,0.9997234513274337,0.004148230088495576,0.9270833333333334,0.24875434815329775,0.0,0.0,0.0,0.0,0.995575221238938,0.06637168141592921,0.8672566371681416,0.3392971595164746,0.0,0.0,0.0,0.0,34.939092641734796,2.3131179818285306,21.2937510681715,7.170315668014761
