attack_type,chunk_index,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,0,112,0.0,0.0,1.0,0.0,0.9988839285714286,0.011758542134880288,0.0,0.0,0.0,0.0,1.0,0.0,0.9910714285714286,0.09406833707904229,0.0,0.0,0.0,0.0,35.10058275290898,2.063850415055077,-29.810992651752063,12.555198162006203
aac,1,112,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.245479055813384,2.161612573916117,-30.856926536985807,14.936532374722818
aac,2,112,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.142684255327495,2.161885062239031,-31.35098692349025,12.895093409745368
aac,3,101,3.0,0.0,1.0,0.0,0.9993811881188119,0.006188118811881187,0.0,0.0,0.0,0.0,1.0,0.0,0.9900990099009901,0.09900990099009899,0.0,0.0,0.0,0.0,35.25715157537177,2.1248500745149,-30.707313344030098,12.164497225140892
aac,4,80,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.689347648620604,1.7106437568904067,-30.7587687343359,13.034522583532905
aac,5,80,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.573983669281006,1.7919895563506154,-29.39918958544731,12.429711958476826
aac,6,56,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0509283883231,1.0032086299942957,-29.993626168795995,9.388043727532615
background_noise,0,103,0.0,0.0,1.0,0.0,0.9993932038834952,0.006128340375219707,0.0,0.0,0.0,0.0,1.0,0.0,0.9902912621359223,0.0980534460035153,0.0,0.0,0.0,0.0,34.934584052817335,2.1037432912608716,47.0516506306176,7.118399787763272
background_noise,1,103,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.92027088276391,2.259384212498427,47.05239605209202,7.119691579943403
background_noise,2,101,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.72599888792132,2.2604852815825236,46.97273307271523,7.161888368513985
background_noise,3,89,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.91128456458617,2.4315839601766953,46.704077517048695,7.210562935114269
background_noise,4,69,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.371543828991875,1.7809103762822085,46.91447349216627,7.113686959094246
background_noise,5,69,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.477081602898195,2.016858981602407,46.92670186360677,7.11989895208065
background_noise,6,42,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.15945180257162,0.9128042579367033,47.42800776163737,7.210626797029348
dac,0,172,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.02827163075292,2.1676968741148657,3.409345399501712,6.688555969137904
dac,1,172,1.0,0.0,0.9996366279069767,0.0047517066971737,0.0,0.0,0.0,0.0,0.0,0.0,0.9941860465116279,0.07602730715477918,0.0,0.0,0.0,0.0,0.0,0.0,34.99488701931266,2.2281008352047174,3.068210810509532,6.7325332948727405
dac,2,169,2.0,0.0,0.9996301775147929,0.004793447262135991,0.0,0.0,0.0,0.0,0.0,0.0,0.9940828402366864,0.07669515619417586,0.0,0.0,0.0,0.0,0.0,0.0,35.02922916976658,2.219040434443885,3.3380379412301195,6.751463625291719
dac,3,146,3.0,0.0,0.9995719178082192,0.00515479219982547,0.0,0.0,0.0,0.0,0.0,0.0,0.9931506849315068,0.08247667519720751,0.0,0.0,0.0,0.0,0.0,0.0,35.17797272825894,2.0610044654444035,3.8973678040177853,6.349675873072896
dac,4,114,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.687873371860434,1.473580892939369,4.620232496345253,4.471642887642897
dac,5,114,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.66055689359966,1.508216308467385,4.766614582977797,4.326327209081086
dac,6,91,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.09207471910414,0.8118218271543839,5.969069971160574,2.542014410642819
dynamic_range_compression,0,113,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.00413094579646,2.4516138799328,32.75876424164898,23.255048817070552
dynamic_range_compression,1,113,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.89505887664525,2.513093371151977,35.43415392816594,24.70216534849545
dynamic_range_compression,2,110,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.81186499162154,2.583116514618415,32.98165603984486,23.233383628627333
dynamic_range_compression,3,98,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.05304768620705,2.566003746792162,33.9088922228132,23.499113603502618
dynamic_range_compression,4,73,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.44937677252783,2.3388908908811685,31.375693295099964,22.042994029524312
dynamic_range_compression,5,73,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.41596172280507,2.3347239367531882,31.89847703176002,21.745126559453492
dynamic_range_compression,6,50,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.28908767700195,0.6848917677672965,28.884609718322753,21.572874690821923
dynamic_range_expansion,0,117,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.74556934324085,2.241436685767171,23.30192421287553,24.848446385700633
