dataset,attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,background_noise,14,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.18894795009068,0.5271158808856556,49.568480900355745,8.226820291007217
Bach10,dynamic_range_compression,7,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.34303229195731,0.20707458026579423,57.897652762276785,21.931104259196434
Bach10,encodec,6,2.5,1.707825127659933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84348487854004,0.29347567418200965,10.3054092725118,0.30344205024278137
Bach10,gaussian_noise,19,2.6842105263157894,1.8368345649068574,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.38389587402344,0.6269983069983649,54.31808672453228,5.0452486678913875
Bach10,highpass,14,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.02486637660435,0.609766449975487,7.133427045175007,9.166675411399225
Bach10,quantization,7,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.13465009416853,0.4695834620837698,51.47407967703683,0.014732107610372832
Clotho,aac,251,2.0199203187250996,1.572802201981947,1.0,0.0,0.9992529880478087,0.008789523204543223,0.0,0.0,0.0,0.0,1.0,0.0,0.9920318725099602,0.08890802232837208,0.0,0.0,0.0,0.0,34.09992967278834,2.465705825197152,-31.034951746701243,14.364112747802196
Clotho,background_noise,261,2.003831417624521,1.5768878712683292,1.0,0.0,0.9997605363984674,0.00386123455378283,0.0,0.0,0.0,0.0,1.0,0.0,0.9961685823754789,0.06177975286052528,0.0,0.0,0.0,0.0,33.88108470522124,2.5383974624799284,46.64258215893274,7.059392560050551
Clotho,dac,325,1.84,1.5045367291065943,0.999423076923077,0.005977027026123097,0.0,0.0,0.0,0.0,0.0,0.0,0.9907692307692307,0.09563243241796955,0.0,0.0,0.0,0.0,0.0,0.0,33.585281700721154,2.400469273416951,0.22431198326440957,8.645972711698306
Clotho,dynamic_range_compression,270,1.9444444444444444,1.5398011736328125,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.529654863145616,2.881266150490296,35.58055776666712,24.017111546465
