attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,922,3.8752711496746204,2.7122794965629344,0.9972885032537961,0.046949039596331316,0.9976952277657267,0.046608570555672836,0.0,0.0,0.0,0.0,0.9902386117136659,0.09831634444515051,0.9956616052060737,0.06572345946873369,0.0,0.0,0.0,0.0,36.73188483223739,2.8342480401240895,-29.26370509521563,12.651734397834328
background_noise,808,3.737623762376238,2.663554964059135,0.9938892326732673,0.07122282646948448,0.989480198019802,0.0937785876094335,0.0,0.0,0.0,0.0,0.9839108910891089,0.12581831935511048,0.9727722772277227,0.16274634829977982,0.0,0.0,0.0,0.0,36.52783944347117,3.569660910453647,27.578985502224157,4.427007082234101
dac,1384,3.8728323699421967,2.751985423215033,0.9971098265895953,0.04713141759830082,0.0,0.0,0.0,0.0,0.0,0.0,0.9884393063583815,0.10689735265264119,0.0,0.0,0.0,0.0,0.0,0.0,36.68158134973118,2.687412356703217,3.1374392850940906,6.062274750687353
dynamic_range_compression,888,3.765765765765766,2.689502298158711,0.9984515765765766,0.03404291339573277,0.9798704954954955,0.13386839126184255,0.0,0.0,0.0,0.0,0.9932432432432432,0.08192132197960905,0.9583333333333334,0.19982631347136337,0.0,0.0,0.0,0.0,36.500914406132054,3.163985776583126,11.622310297051865,3.521892168785066
dynamic_range_expansion,930,3.760215053763441,2.6743561092182864,0.9946908602150538,0.06597494532841984,0.9606182795698924,0.18804532023306572,0.0,0.0,0.0,0.0,0.9817204301075269,0.13396054350822598,0.932258064516129,0.2513025381104816,0.0,0.0,0.0,0.0,36.44690735314482,3.532907547476495,5.292835309042005,3.980381306317838
encodec,1368,3.818713450292398,2.693266584372489,0.9969389619883041,0.04790589622146924,0.0,0.0,0.0,0.0,0.0,0.0,0.9890350877192983,0.1041378076366997,0.0,0.0,0.0,0.0,0.0,0.0,36.584895865959034,2.776121153123714,8.732545977697997,7.144521833896566
eq,1084,3.7804428044280445,2.701261388325291,0.9976360701107011,0.04334823357333796,0.9938307195571956,0.06866603686714004,0.00046125461254612545,0.01517941205895234,0.0,0.0,0.9907749077490775,0.09560329452421858,0.9750922509225092,0.15584400249410799,0.0,0.0,0.0,0.0,36.420969595328465,3.517748724589934,2.3807935835882215,3.677371212984485
gain,368,3.8043478260869565,2.699593892303959,0.9988111413043478,0.00970154127163568,0.9835258152173914,0.1180755331754276,0.0,0.0,0.0,0.0,0.9836956521739131,0.1266432630188157,0.967391304347826,0.17761015911269773,0.0,0.0,0.0,0.0,36.92893900560296,2.2080910417409054,91.18221023808356,9.624273770794565
gaussian_noise,844,3.7227488151658767,2.6745073565823834,0.9997778436018957,0.0037195996311831635,0.7718453791469194,0.4078128535799214,0.0,0.0,0.0,0.0,0.9964454976303317,0.059513594098930624,0.6706161137440758,0.4699895123626362,0.0,0.0,0.0,0.0,36.362471024572,2.176923010516651,29.337792984117264,5.464716238340629
highpass,848,3.7169811320754715,2.6697279805646943,0.9995577830188679,0.00605440824820544,0.9995577830188679,0.00605440824820544,0.0,0.0,0.0,0.0,0.9941037735849056,0.0765601784817426,0.9941037735849056,0.0765601784817426,0.0,0.0,0.0,0.0,36.31855028530337,2.3362446863493287,-9.686868551255309,9.577793416194108
limiter,852,3.8708920187793425,2.7105683711065733,0.9966255868544601,0.04899202366581282,0.9535651408450704,0.20408716848733371,0.0,0.0,0.0,0.0,0.9812206572769953,0.13574490417653481,0.9237089201877934,0.2654632760916171,0.0,0.0,0.0,0.0,36.613824112314575,3.1779546305193653,7.696198820962873,3.870533742453532
lowpass,1066,3.8058161350844277,2.69542102514228,0.9998241088180112,0.0033109305589811215,0.9996482176360225,0.004675750946851989,0.0,0.0,0.0,0.0,0.9971857410881801,0.052974888943697944,0.9943714821763602,0.07481201514963183,0.0,0.0,0.0,0.0,36.63591698365632,2.2912760282229723,14.41009213248404,7.1368785163526205
mp3,898,3.7160356347438754,2.6614021387121762,0.9890729398663697,0.09979689548241137,0.6327951002227171,0.4719293218835822,0.0,0.0,0.0,0.0,0.9755011135857461,0.15459201460203364,0.5256124721603563,0.49934357036997573,0.0,0.0,0.0,0.0,36.323827586354554,3.3001229492101247,17.043368521613175,6.594009222800006
phase_shift,448,3.75,2.7206223027619463,0.9998604910714286,0.002949550015606302,0.9997209821428571,0.004166625145945334,0.0,0.0,0.0,0.0,0.9977678571428571,0.04719280024970084,0.9955357142857143,0.06666600233512535,0.0,0.0,0.0,0.0,36.83587639246668,2.2041893715149614,-21.510951048095844,13.490088124889075
polarity,410,3.8073170731707315,2.6768101004925158,1.0,0.0,0.9998475609756098,0.003082888478072665,0.0,0.0,0.0,0.0,1.0,0.0,0.9975609756097561,0.04932621564916263,0.0,0.0,0.0,0.0,36.32659926065585,2.1994276319345554,90.4403144650343,0.7643238576733467
quantization,506,3.741106719367589,2.6891249955283603,0.9974061264822134,0.04498439103483025,0.9974061264822134,0.04498439103483025,0.0,0.0,0.0,0.0,0.9901185770750988,0.09891299412049169,0.9901185770750988,0.09891299412049169,0.0,0.0,0.0,0.0,36.49327870696901,3.534674915184995,60.913301188955195,8.163757499084896
reverb,842,3.834916864608076,2.71138477828053,0.9967339667458432,0.050223147048615226,0.9111490498812351,0.26144141158488327,0.0,0.0,0.0,0.0,0.9893111638954869,0.10283280063892028,0.7553444180522565,0.4298828074831028,0.0,0.0,0.0,0.0,36.81875394472317,2.943172810963629,3.3084694806911106,2.2415978574669535
time_jitter,330,3.8333333333333335,2.7279881216602084,0.9994318181818181,0.005931992334608266,0.9757575757575757,0.14435198045329936,0.0,0.0,0.0,0.0,0.990909090909091,0.09491187735373227,0.9333333333333333,0.24944382578492946,0.0,0.0,0.0,0.0,36.768205775636616,2.055983524109425,34.518801949240945,9.723540910511593
time_stretch,460,3.8130434782608695,2.7290393831220867,0.998641304347826,0.012288498972385885,0.8434782608695652,0.3442189403203088,0.0,0.0,0.0,0.0,0.9847826086956522,0.1224165932634877,0.6891304347826087,0.4628495205128136,0.0,0.0,0.0,0.0,36.5762146908304,2.447584389633285,-16.62963675312374,9.596400825371733
vorbis,960,3.7,2.6570660511172846,0.9973958333333334,0.03495796707197882,0.8890625,0.3059562260186632,0.0,0.0,0.0,0.0,0.9822916666666667,0.13188915142607024,0.8333333333333334,0.3726779962499649,0.0,0.0,0.0,0.0,36.3492836912473,3.0978160161187134,19.654545785486697,4.872906230092237
