attack_type,chunk_index,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,0,112,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.45241694790976,2.3326302730819797,-28.92397935475622,12.862897050386273
aac,1,112,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.39799579552242,2.436479374461944,-30.339543575687067,14.40087215399871
aac,2,112,2.0,0.0,0.9983258928571429,0.013098989502573103,0.9994419642857143,0.005879271067440144,0.0,0.0,0.0,0.0,0.9821428571428571,0.132432115840994,0.9910714285714286,0.09406833707904229,0.0,0.0,0.0,0.0,36.63935009070805,2.3994312225624226,-29.81752897799015,12.940085417809973
aac,3,112,3.0,0.0,0.9994419642857143,0.005879271067440144,1.0,0.0,0.0,0.0,0.0,0.0,0.9910714285714286,0.0940683370790423,1.0,0.0,0.0,0.0,0.0,0.0,36.383139099393574,2.3032497791896493,-28.88562540922846,12.566110155754687
aac,4,101,4.0,0.0,0.9987623762376238,0.008707454999672208,0.9993811881188119,0.006188118811881187,0.0,0.0,0.0,0.0,0.9801980198019802,0.13931927999475532,0.9900990099009901,0.09900990099009897,0.0,0.0,0.0,0.0,36.550386787641166,2.4291488748792602,-29.60845375533151,12.544366126580455
aac,5,101,5.0,0.0,0.9795792079207921,0.1393687453895306,0.9801980198019802,0.1393192799947553,0.0,0.0,0.0,0.0,0.9702970297029703,0.16976661583645788,0.9801980198019802,0.1393192799947553,0.0,0.0,0.0,0.0,37.16093888613257,5.806072177063501,-29.635130192973826,13.985786404309517
aac,6,80,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.8453727722168,1.9360058110599596,-27.964212357997894,10.831641165736196
aac,7,80,7.0,0.0,0.99921875,0.006943901888527803,1.0,0.0,0.0,0.0,0.0,0.0,0.9875,0.11110243021644485,1.0,0.0,0.0,0.0,0.0,0.0,36.96233770847321,2.037214847962216,-29.26259550154209,12.309354201129493
aac,8,56,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.37886224474226,1.2528029139836134,-28.341782246317184,10.734873160356988
aac,9,56,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.25635324205671,1.1242142973817884,-28.928246872765676,9.788532319513012
background_noise,0,103,0.0,0.0,0.9993932038834952,0.006128340375219707,0.9787621359223301,0.13840539239488298,0.0,0.0,0.0,0.0,0.9902912621359223,0.0980534460035153,0.9611650485436893,0.1932014440983728,0.0,0.0,0.0,0.0,36.12698588324982,2.3121806304215387,27.60444011503053,4.395436319317495
background_noise,1,103,1.0,0.0,0.9890776699029126,0.09831220719672112,0.9793689320388349,0.1380857859357734,0.0,0.0,0.0,0.0,0.970873786407767,0.1681602725795026,0.9611650485436893,0.1932014440983728,0.0,0.0,0.0,0.0,36.246688361306795,2.5049221333232183,27.610223047941634,4.391315987147959
background_noise,2,101,2.0,0.0,0.9863861386138614,0.10241663794840199,0.9857673267326733,0.10252127440065711,0.0,0.0,0.0,0.0,0.9702970297029703,0.16976661583645788,0.9603960396039604,0.1950268871642793,0.0,0.0,0.0,0.0,36.142912685280976,2.378138478040973,27.597067880158377,4.406824148217082
background_noise,3,101,3.0,0.0,0.989480198019802,0.09914131130805959,0.9888613861386139,0.0992686902573281,0.0,0.0,0.0,0.0,0.9801980198019802,0.1393192799947553,0.9702970297029703,0.16976661583645788,0.0,0.0,0.0,0.0,36.492692834079854,5.981800628273819,27.601483581089738,4.4021445295868755
background_noise,4,89,4.0,0.0,0.9992977528089888,0.00658766258402167,0.9971910112359551,0.020760878509964158,0.0,0.0,0.0,0.0,0.9887640449438202,0.10540260134434672,0.9775280898876404,0.1482124264974485,0.0,0.0,0.0,0.0,35.906604166780966,2.247020044466985,27.507087493210697,4.426488476660441
background_noise,5,89,5.0,0.0,0.9859550561797753,0.10672309124445434,0.9859550561797753,0.10672309124445434,0.0,0.0,0.0,0.0,0.9662921348314607,0.18047616184504506,0.9662921348314607,0.18047616184504506,0.0,0.0,0.0,0.0,36.97282047486037,6.265980501920593,27.50401655475745,4.429970734965072
background_noise,6,69,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.779332561769344,2.0474957636698456,27.441177810447805,4.4175003787404545
background_noise,7,69,7.0,0.0,1.0,0.0,0.9981884057971014,0.010485359513396944,0.0,0.0,0.0,0.0,1.0,0.0,0.9710144927536232,0.1677657522143511,0.0,0.0,0.0,0.0,36.848654981972516,2.1240564423319634,27.446512194647305,4.409657512410863
background_noise,8,42,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.38543265206473,1.156696779160574,27.83819035121373,4.5678264785137195
background_noise,9,42,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.786227634974885,1.6379692170387632,27.838414691743395,4.567716707588302
dac,0,172,0.0,0.0,0.9930959302325582,0.07668012185754634,0.0,0.0,0.0,0.0,0.0,0.0,0.9825581395348837,0.13091081685113606,0.0,0.0,0.0,0.0,0.0,0.0,36.33847777788029,2.3349713108593644,2.561722255593469,6.886018870497964
dac,1,172,1.0,0.0,0.9989098837209303,0.010600255919923564,0.0,0.0,0.0,0.0,0.0,0.0,0.9883720930232558,0.10720400531735916,0.0,0.0,0.0,0.0,0.0,0.0,36.324861936790995,2.4974224659030533,2.47456005813424,6.666582437161902
dac,2,169,2.0,0.0,0.9988905325443787,0.010692923294971126,0.0,0.0,0.0,0.0,0.0,0.0,0.9881656804733728,0.10814004072483471,0.0,0.0,0.0,0.0,0.0,0.0,36.48168402451735,2.6772156381974366,2.3049771942683224,6.674773723818304
dac,3,169,3.0,0.0,0.9992603550295858,0.0067587525453021696,0.0,0.0,0.0,0.0,0.0,0.0,0.9881656804733728,0.10814004072483471,0.0,0.0,0.0,0.0,0.0,0.0,36.372386740509576,2.5556399263710308,2.5468410069905443,6.744342219267289
dac,4,146,4.0,0.0,0.985445205479452,0.11636278772624664,0.0,0.0,0.0,0.0,0.0,0.0,0.9726027397260274,0.16323801764127377,0.0,0.0,0.0,0.0,0.0,0.0,36.85118253263709,5.0695794417410545,2.915269751050701,6.506767205089631
dac,5,146,5.0,0.0,0.9991438356164384,0.007264795697122064,0.0,0.0,0.0,0.0,0.0,0.0,0.9863013698630136,0.11623673115395303,0.0,0.0,0.0,0.0,0.0,0.0,36.669407753095236,2.3452439397726255,3.099267355689447,6.6621657790382445
dac,6,114,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.867777372661386,1.6270855496897165,3.612427029824048,4.609193382720079
dac,7,114,7.0,0.0,0.9994517543859649,0.005827930818385227,0.0,0.0,0.0,0.0,0.0,0.0,0.9912280701754386,0.09324689309416363,0.0,0.0,0.0,0.0,0.0,0.0,37.031689610397606,1.7914037492764046,3.957344149925599,4.510306107905517
dac,8,91,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.48521469451569,1.3521290788178861,5.002957324487167,2.5854913120925223
dac,9,91,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.221716954157905,1.0895224536863581,5.051348219697292,2.9047638918125727
dynamic_range_compression,0,113,0.0,0.0,0.9994469026548672,0.005853432104125201,0.9817477876106194,0.1319111078386181,0.0,0.0,0.0,0.0,0.9911504424778761,0.09365491366600322,0.9734513274336283,0.1607601957927872,0.0,0.0,0.0,0.0,36.30252220356359,2.6334262919540135,11.463958581991955,3.331100432282289
dynamic_range_compression,1,113,1.0,0.0,0.9994469026548672,0.005853432104125201,0.9717920353982301,0.16080015252358862,0.0,0.0,0.0,0.0,0.9911504424778761,0.09365491366600322,0.9469026548672567,0.22422760104991019,0.0,0.0,0.0,0.0,36.173294708792085,2.728166430944676,12.07224107606221,3.5491258642025567
dynamic_range_compression,2,110,2.0,0.0,1.0,0.0,0.9801136363636364,0.1337642882612904,0.0,0.0,0.0,0.0,1.0,0.0,0.9545454545454546,0.2082988952252655,0.0,0.0,0.0,0.0,36.017022843794386,2.712967216374519,11.949891207434915,3.726167055050866
dynamic_range_compression,3,110,3.0,0.0,0.9988636363636364,0.011863984669216532,0.9789772727272728,0.13464950100106096,0.0,0.0,0.0,0.0,0.990909090909091,0.09491187735373226,0.9545454545454546,0.2082988952252655,0.0,0.0,0.0,0.0,35.98502231944691,2.70157062284185,11.915879838168621,3.6322992222250057
dynamic_range_compression,4,98,4.0,0.0,0.9993622448979592,0.0062811593123699655,0.9936224489795918,0.039417186582557266,0.0,0.0,0.0,0.0,0.9897959183673469,0.10049854899791943,0.9489795918367347,0.22003937400865126,0.0,0.0,0.0,0.0,36.31210488689189,2.7057364424789405,11.968467036300169,3.668343331020234
dynamic_range_compression,5,98,5.0,0.0,1.0,0.0,0.9878826530612245,0.10127462666041363,0.0,0.0,0.0,0.0,1.0,0.0,0.9693877551020408,0.17226472465442993,0.0,0.0,0.0,0.0,36.39411062123824,2.784742083637281,11.733847401580032,3.6309900082002033
